Iteracion,throughput_avg
0,0.000000
1,0.335872
2,0.338603
3,0.656725
4,0.667648
5,1.243819
6,1.335296
7,1.839104
8,1.979733
9,2.486272
10,2.523136
11,2.965504
12,3.022848
13,3.457024
14,3.457024
15,3.626325
16,3.861162
