Iteracion,throughput_avg
0,0.000000
1,0.567068
2,0.567068
3,1.017628
4,1.017628
5,1.503687
6,1.503687
7,1.787676
8,1.787676
9,1.968811
10,1.968811
11,2.321977
12,2.321977
13,2.666041
14,2.666041
15,3.230379
16,3.104768
